,Unnamed: 0,recordId,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,ZIPCode,ESRI_OID,geo,point,latitude,longitude,altitude
26,3671,11584284,6101020A638DA7B3,2022/12/05 03:11:00+00,High,ND,FIRE,P223390683,3000 EAST DR,3000 EAST DR BALTIMORE MD,Druid Hill Park,Northern,531.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1304,21217.0,478668,"East Drive, Baltimore, Maryland, 21211, United States","(39.3205639, -76.6337732, 0.0)",39.3205639,-76.6337732,0.0
0,3672,11584613,6101020A638DC1E8,2022/12/05 05:03:00+00,High,NE,COMMON ASSAULT,P223390990,2700 THE ALAMEDA,2700 THE ALAMEDA BALTIMORE MD,Coldstream Homestead Montebello,Northeastern,411.0,14.0,D5,Midway/Coldstream,Census Tract 906,21218.0,478671,"2700, The Alameda, Coldstream-Homestead-Montebello, Baltimore, Maryland, 21218, United States","(39.32135025, -76.59131507400468, 0.0)",39.32135025,-76.59131507400468,0.0
1,3673,11584661,6101020A638DC393,2022/12/05 05:10:00+00,High,ND,COMMON ASSAULT,P223391001,1300 WELDON AV,1300 WELDON AV BALTIMORE MD,Medfield,Northern,541.0,7.0,D2,Medfield/Hampden/Woodberry/Remington,Census Tract 1308.03,21211.0,478672,"1300, Weldon Avenue, Medfield, Baltimore, Maryland, 21211, United States","(39.338219, -76.63925431202797, 0.0)",39.338219,-76.63925431202797,0.0
2,3674,11585843,6101020A638E2B0D,2022/12/05 12:31:00+00,High,WD,BURGLARY,P223392453,2500 HARLEM AV,2500 HARLEM AV BALTIMORE MD,Evergreen Lawn,Western,721.0,9.0,D8,Greater Rosemont,Census Tract 1605,21216.0,478693,"Union Memorial United Methodist Church, 2500, Harlem Avenue, Evergreen Lawn, Baltimore, Maryland, 21216, United States","(39.29641665, -76.65674170001262, 0.0)",39.29641665,-76.65674170001262,0.0
3,3675,11586091,6101020A638E2D92,2022/12/05 12:42:00+00,High,SD,OVERDOSE,P223392516,4200 PENNINGTON AV,4200 PENNINGTON AV BALTIMORE MD,Curtis Bay,Southern,911.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,21226.0,478695,"4200, Pennington Avenue, Curtis Bay, Baltimore, Maryland, 21226, United States","(39.227407, -76.58890492870671, 0.0)",39.227407,-76.58890492870671,0.0
4,3676,11586041,6101020A638E2EBB,2022/12/05 12:47:00+00,High,NW,BY THREAT,P223392537,3700 BEEHLER AV,3700 BEEHLER AV BALTIMORE MD,Central Park Heights,Northwestern,614.0,6.0,D1,Pimlico/Arlington/Hilltop,Census Tract 2718.02,21215.0,480151,"3700, Beehler Avenue, Central Park Heights, Park Heights, Baltimore, Maryland, 21215, United States","(39.34270665, -76.67532755657051, 0.0)",39.34270665,-76.67532755657051,0.0
5,3677,11586315,6101020A638E4455,2022/12/05 14:19:00+00,High,SE,COMMON ASSAULT,P223392878,E PRATT ST/HORNEL ST,E PRATT ST and HORNEL ST BALTIMORE MD,Bayview,Southeastern,241.0,1.0,D6,Orangeville/East Highlandtown,Census Tract 2605.01,21224.0,480160,,"(None, None, None)",,,
6,3678,11587788,6101020A638E990F,2022/12/05 20:21:00+00,High,ND,DISCHRG FIREARM,P223394448,900 BELGIAN AV,900 BELGIAN AV BALTIMORE MD,Pen Lucy,Northern,542.0,4.0,D2,Greater Govans,Census Tract 2710.01,21218.0,480192,"Belgian Avenue, Pen Lucy, Baltimore, Maryland, 21218, United States","(39.340544, -76.602484, 0.0)",39.340544,-76.602484,0.0
7,3679,11590731,6101020A638F66B4,2022/12/06 10:58:00+00,High,SD,COMMON ASSAULT,P223402151,900 STOLL ST,900 STOLL ST BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.02,21225.0,480224,"900, Stoll Street, Brooklyn, Baltimore, Maryland, 21225, United States","(39.23078755, -76.59966533428525, 0.0)",39.23078755,-76.59966533428525,0.0
8,3680,11591703,6101020A638F9FA8,2022/12/06 15:01:00+00,High,CD,AUTO ACC/INJURY,P223403116,SB I 100 S AT E FAYETTE ST,SB I 100 S AT E FAYETTE ST BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 302,21202.0,480242,,"(None, None, None)",,,
9,3681,11591610,6101020A638FA6D4,2022/12/06 15:32:00+00,High,NE,AUTO ACC/INJURY,P223403225,1700 BLK E NORTHERN PY,1700 BLK E NORTHERN PY BALTIMORE MD,Loch Raven,Northeastern,415.0,4.0,D3,Loch Raven,Census Tract 2708.03,21239.0,480246,,"(None, None, None)",,,
10,3682,11592427,6101020A638FC9E1,2022/12/06 18:01:00+00,High,SE,COMMON ASSAULT,P223403981,S CHESTER ST/BOSTON ST,S CHESTER ST and BOSTON ST BALTIMORE MD,Fells Point,Southeastern,213.0,1.0,D6,Fells Point,Census Tract 203,21231.0,480255,,"(None, None, None)",,,
11,3683,11593632,6101020A63900990,2022/12/06 22:33:00+00,High,ED,AUTO ACC/INJURY,P223405071,ORLEANS ST/N GAY ST,ORLEANS ST and N GAY ST BALTIMORE MD,Oldtown,Eastern,312.0,12.0,D7,Oldtown/Middle East,Census Tract 2805,21202.0,480275,,"(None, None, None)",,,
12,3684,11593573,6101020A6390159A,2022/12/06 23:24:00+00,High,NE,DISCHRG FIREARM,P223405191,1900 E 31ST ST,1900 E 31ST ST BALTIMORE MD,Coldstream Homestead Montebello,Northeastern,411.0,14.0,D5,Midway/Coldstream,Census Tract 906,21218.0,480278,"1900, East 31st Street, Coldstream-Homestead-Montebello, Baltimore, Maryland, 21218, United States","(39.32656955, -76.58916318069322, 0.0)",39.32656955,-76.58916318069322,0.0
13,3685,11593777,6101020A63901938,2022/12/06 23:40:00+00,High,ND,ARMED PERSON,P223405273,E 0TH ST/GREENMOUNT AV,E 0TH ST and GREENMOUNT AV BALTIMORE MD,Better Waverly,Northern,513.0,14.0,D5,Midway/Coldstream,Census Tract 908,21218.0,480280,,"(None, None, None)",,,
14,3686,11594984,6101020A6390928B,2022/12/07 08:18:00+00,High,NE,AUTO ACC/INJURY,P223411325,E NORTHERN PY/HILLEN RD,E NORTHERN PY and HILLEN RD BALTIMORE MD,Mt Pleasant Park,Northeastern,415.0,4.0,D3,Loch Raven,Census Tract 2708.03,21239.0,480290,,"(None, None, None)",,,
15,3687,11595405,6101020A6390A773,2022/12/07 09:47:00+00,High,CD,COMMON ASSAULT,P223411668,W SARATOGA ST/N PACA ST,W SARATOGA ST and N PACA ST BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21201.0,480297,,"(None, None, None)",,,
16,3688,11595465,6101020A6390A833,2022/12/07 09:50:00+00,High,SD,AUTO ACC/INJURY,P223411675,SB MD 300 S AT ANNAPOLIS RD,SB MD 300 S AT ANNAPOLIS RD BALTIMORE MD,Lakeland,Southern,923.0,10.0,D7,Westport/Mount Winans/Lakeland,Census Tract 2502.05,21230.0,480298,,"(None, None, None)",,,
17,3689,11595625,6101020A6390B55B,2022/12/07 10:46:00+00,High,ND,AUTO ACC/INJURY,P223411880,W NORTHERN PY/NB I 100 N,W NORTHERN PY and NB I 100 N BALTIMORE MD,Cross Keys,Northern,541.0,6.0,D2,Mount Washington/Coldspring,Census Tract 2715.03,21209.0,480303,,"(None, None, None)",,,
18,3690,11596588,6101020A6390EE98,2022/12/07 14:50:00+00,High,ND,SHOOTING,P223412817,LOYOLA SOUTHWAY/PALL MALL RD,LOYOLA SOUTHWAY and PALL MALL RD BALTIMORE MD,Greenspring,Northern,533.0,6.0,D2,Southern Park Heights,Census Tract 1513,21215.0,480330,,"(None, None, None)",,,
19,3691,11598266,6101020A639152C3,2022/12/07 21:58:00+00,High,WD,OVERDOSE,P223414630,1600 N PAYSON ST,1600 N PAYSON ST BALTIMORE MD,Easterwood,Western,741.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1502,21217.0,480355,"1600, North Payson Street, Easterwood, Mondawmin, Baltimore, Maryland, 21217, United States","(39.306677, -76.649849, 0.0)",39.306677,-76.649849,0.0
20,3692,11598338,6101020A63916122,2022/12/07 22:59:00+00,High,CD,COMMON ASSAULT,P223414762,1300 MCCULLOH ST,1300 MCCULLOH ST BALTIMORE MD,Upton,Central,123.0,11.0,D8,Upton/Druid Heights,Census Tract 1702,21217.0,480359,"1300, McCulloh Street, Upton, Baltimore, Maryland, 21217, United States","(39.302617, -76.627963, 0.0)",39.302617,-76.627963,0.0
21,3693,11598656,6101020A63916E0C,2022/12/07 23:54:00+00,High,SD,ROBBERY ARMED,P223414987,100 BLK W JEFFREY ST,100 BLK W JEFFREY ST BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,21225.0,480365,,"(None, None, None)",,,
22,3694,11599084,6101020A63918545,2022/12/08 01:33:00+00,High,ND,ARMED PERSON,P223420412,E 0RD ST/GREENMOUNT AV,E 0RD ST and GREENMOUNT AV BALTIMORE MD,Abell,Northern,512.0,14.0,D2,Greater Charles Village/Barclay,Census Tract 1202.01,21218.0,480369,,"(None, None, None)",,,
23,3695,11599053,6101020A639185B4,2022/12/08 01:35:00+00,High,CD,DISCHRG FIREARM,P223420421,RESIDENCE INN BY MARRIOTT BALTIMORE DOWNTOWN INNER,RESIDENCE INN BY MARRIOTT BALTIMORE DOWNTOWN INNER BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21202.0,480370,,"(None, None, None)",,,
24,3696,11599099,6101020A63918600,2022/12/08 01:36:00+00,High,CD,DISCHRG FIREARM,P223420426,RESIDENCE INN BY MARRIOTT BALTIMORE DOWNTOWN INNER,RESIDENCE INN BY MARRIOTT BALTIMORE DOWNTOWN INNER BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21202.0,480371,,"(None, None, None)",,,
25,3697,11599161,6101020A63918B6C,2022/12/08 01:59:00+00,High,NE,COMMON ASSAULT,P223420526,3100 KENTUCKY AV,3100 KENTUCKY AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D5,Belair-Edison,Census Tract 2603.01,21213.0,480374,"3100, Kentucky Avenue, Belair-Edison, Baltimore, Maryland, 21213, United States","(39.32332595, -76.56970907070317, 0.0)",39.32332595,-76.56970907070317,0.0
26,3698,11599433,6101020A6391AE2C,2022/12/08 04:28:00+00,High,SD,NONBREATHING / A,P223420979,500 SCOTT ST,500 SCOTT ST BALTIMORE MD,Washington Village/Pigtown,Southern,932.0,10.0,D7,Washington Village/Pigtown,Census Tract 2101,21230.0,480379,"500, Scott Street, Washington Village/Pigtown, Baltimore, Maryland, 21230, United States","(39.282902, -76.628943, 0.0)",39.282902,-76.628943,0.0
0,3699,11599796,6101020A6391C8B6,2022/12/08 06:21:00+00,High,ND,AUTO ACC/INJURY,P223421242,500 BLK W NORTHERN PY,500 BLK W NORTHERN PY BALTIMORE MD,North Roland Park/Poplar Hill,Northern,521.0,5.0,D2,Greater Roland Park/Poplar Hill,Census Tract 2713,21210.0,480388,,"(None, None, None)",,,
1,3700,11600470,6101020A639203A8,2022/12/08 10:32:00+00,High,ED,POSSIBLE,P223422089,1500 N BROADWAY,1500 N BROADWAY BALTIMORE MD,Broadway East,Eastern,331.0,12.0,D5,Greenmount East,Census Tract 807,21213.0,480405,"1500, North Broadway, Oliver, Baltimore, Maryland, 21213, United States","(39.3075704, -76.5951513, 0.0)",39.3075704,-76.5951513,0.0
2,3701,11600927,6101020A63921FA9,2022/12/08 12:32:00+00,High,ED,BURGLARY,P223422584,2300 AIKEN ST,2300 AIKEN ST BALTIMORE MD,East Baltimore Midway,Eastern,342.0,12.0,D5,Midway/Coldstream,Census Tract 908,21218.0,480415,"2300, Aiken Street, East Baltimore Midway, Baltimore, Maryland, 21218, United States","(39.3161037, -76.59860844480984, 0.0)",39.3161037,-76.59860844480984,0.0
3,3702,11601169,6101020A63922944,2022/12/08 13:13:00+00,High,SE,AUTO ACC/INJURY,P223422772,NORTH POINT RD/PULASKI HY,NORTH POINT RD and PULASKI HY BALTIMORE MD,Pulaski Industrial Area,Northeastern,441.0,2.0,D6,Claremont/Armistead,Census Tract 2604.04,21205.0,480418,,"(None, None, None)",,,
4,3703,11601772,6101020A63924AC8,2022/12/08 15:36:00+00,High,SD,COMMON ASSAULT,P223423244,POPLAND ST/PENNINGTON AV,POPLAND ST and PENNINGTON AV BALTIMORE MD,Curtis Bay,Southern,911.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,21226.0,480433,,"(None, None, None)",,,
5,3704,11602070,6101020A63926476,2022/12/08 17:25:00+00,High,WD,AGGRAV ASSAULT,P223423854,2200 N FULTON AV,2200 N FULTON AV BALTIMORE MD,Penn North,Western,733.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1303,21217.0,481900,"Friendly Fried Chicken, 2200, North Fulton Avenue, Parkview/Woodbrook, Baltimore, Maryland, 21217, United States","(39.31342585, -76.64628464696617, 0.0)",39.31342585,-76.64628464696617,0.0
6,3705,11602735,6101020A63927EAA,2022/12/08 19:17:00+00,High,NW,DISCHRG FIREARM,P223424411,OAKMONT AV/BEAUFORT AV,OAKMONT AV and BEAUFORT AV BALTIMORE MD,Central Park Heights,Northwestern,614.0,6.0,D1,Pimlico/Arlington/Hilltop,Census Tract 2718.02,21215.0,481910,,"(None, None, None)",,,
7,3706,11602932,6101020A63928AA1,2022/12/08 20:08:00+00,High,SW,ATT SUICIDE-WEAP,P223424644,4300 PARKTON ST,4300 PARKTON ST BALTIMORE MD,Yale Heights,Southwestern,833.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2501.02,21229.0,481914,"4300, Parkton Street, Yale Heights, Baltimore, Maryland, 21229, United States","(39.27798545, -76.6865541068924, 0.0)",39.27798545,-76.6865541068924,0.0
8,3707,11603518,6101020A6392BA66,2022/12/08 23:32:00+00,High,NW,BURGLARY,P223425249,5000 DENMORE AV,5000 DENMORE AV BALTIMORE MD,Central Park Heights,Northwestern,614.0,6.0,D1,Pimlico/Arlington/Hilltop,Census Tract 2718.02,21215.0,481917,"5000, Denmore Avenue, Central Park Heights, Park Heights, Baltimore, Maryland, 21215, United States","(39.3465843, -76.67521579864095, 0.0)",39.3465843,-76.67521579864095,0.0
9,3708,11603672,6101020A6392BC16,2022/12/08 23:39:00+00,High,SE,ROBBERY ARMED,P223425323,200 S CONKLING ST,200 S CONKLING ST BALTIMORE MD,Highlandtown,Southeastern,231.0,2.0,D6,Highlandtown,Census Tract 2608,21224.0,481918,"200, South Conkling Street, Baltimore Highlands, Highlandtown, Baltimore, Maryland, 21224, United States","(39.290147700000006, -76.56762025, 0.0)",39.290147700000006,-76.56762025,0.0
10,3709,11604963,6101020A63931BEE,2022/12/09 06:28:00+00,High,SE,COMMON ASSAULT,P223431282,6500 EASTERN AV,6500 EASTERN AV BALTIMORE MD,Pulaski Industrial Area,Southeastern,242.0,1.0,D6,Orangeville/East Highlandtown,Census Tract 2605.01,21224.0,481934,"Save Mart, 6500, Eastern Avenue, Baltimore, Maryland, 21224, United States","(39.2893561, -76.536077, 0.0)",39.2893561,-76.536077,0.0
11,3710,11607107,6101020A6393AC76,2022/12/09 16:45:00+00,High,SW,BURGLARY,P223433522,3900 FLOWERTON RD,3900 FLOWERTON RD BALTIMORE MD,Edmondson Village,Southwestern,844.0,8.0,D10,Edmondson Village,Census Tract 1608.01,21229.0,481944,"3900, Flowerton Road, Edgewood, Edmondson Village, Baltimore, Maryland, 21229, United States","(39.29877715, -76.68198356055666, 0.0)",39.29877715,-76.68198356055666,0.0
12,3711,11608063,6101020A6393D9E0,2022/12/09 19:59:00+00,High,ED,AGGRAV ASSAULT,P223434511,1300 E LANVALE ST,1300 E LANVALE ST BALTIMORE MD,Oliver,Eastern,343.0,12.0,D5,Greenmount East,Census Tract 909,21213.0,481963,"1300, East Lanvale Street, Oliver, Baltimore, Maryland, 21213, United States","(39.309407, -76.602012, 0.0)",39.309407,-76.602012,0.0
13,3712,11608244,6101020A6393E670,2022/12/09 20:52:00+00,High,WD,AGGRAV ASSAULT,P223434731,1700 N CALHOUN ST,1700 N CALHOUN ST BALTIMORE MD,Sandtown-Winchester,Western,742.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,21217.0,481968,"1700, North Calhoun Street, Sandtown-Winchester, Baltimore, Maryland, 21217, United States","(39.308064, -76.643689, 0.0)",39.308064,-76.643689,0.0
14,3713,11608570,6101020A6393F2A4,2022/12/09 21:44:00+00,High,SW,AUTO ACC/INJURY,P223434886,HOLLINS ST/S CATHERINE ST,HOLLINS ST and S CATHERINE ST BALTIMORE MD,Shipley Hill,Southwestern,842.0,9.0,D8,Southwest Baltimore,Census Tract 2004,21223.0,481971,,"(None, None, None)",,,
15,3714,11608540,6101020A6393F98E,2022/12/09 22:14:00+00,High,SD,ARMED PERSON,P223434949,600 BLK S FREMONT AV,600 BLK S FREMONT AV BALTIMORE MD,Ridgely's Delight,Southern,941.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2201,21230.0,481973,,"(None, None, None)",,,
16,3715,11608703,6101020A639408D6,2022/12/09 23:19:00+00,High,CD,COMMON ASSAULT,P223435103,400 W CAMDEN ST,400 W CAMDEN ST BALTIMORE MD,Stadium Area,Southern,941.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2201,21201.0,481977,"400, West Camden Street, Downtown West, Baltimore, Maryland, 21201, United States","(39.285319, -76.620839, 0.0)",39.285319,-76.620839,0.0
17,3716,11608780,6101020A63940F1C,2022/12/09 23:46:00+00,High,NE,AGGRAV ASSAULT,P223435188,4400 ORCHARD RIDGE BL,4400 ORCHARD RIDGE BL BALTIMORE MD,Orchard Ridge,Northeastern,433.0,13.0,D6,Claremont/Armistead,Census Tract 2603.03,21213.0,481979,,"(None, None, None)",,,
18,3717,11608783,6101020A63940FC4,2022/12/09 23:49:00+00,High,NE,AGGRAV ASSAULT,P223435197,4400 ORCHARD RIDGE BL,4400 ORCHARD RIDGE BL BALTIMORE MD,Orchard Ridge,Northeastern,433.0,13.0,D6,Claremont/Armistead,Census Tract 2603.03,21213.0,481980,,"(None, None, None)",,,
19,3718,11608830,6101020A63941058,2022/12/09 23:51:00+00,High,NE,SHOOTING,P223435204,ARIZONA AV/ALBANENE PL,ARIZONA AV and ALBANENE PL BALTIMORE MD,Frankford,Northeastern,444.0,2.0,D4,Cedonia/Frankford,Census Tract 2601.02,21206.0,481981,,"(None, None, None)",,,
20,3719,11608950,6101020A63941F08,2022/12/10 00:54:00+00,High,SD,DISCHRG FIREARM,P223440189,HORSESHOE CASINO,HORSESHOE CASINO BALTIMORE MD,Carroll - Camden Industrial Area,Southern,941.0,10.0,D7,Washington Village/Pigtown,Census Tract 2101,21230.0,481984,"Horseshoe Casino Baltimore, 1525, Russell Street, South Baltimore, Baltimore, Maryland, 21230, United States","(39.27355795, -76.62744037685637, 0.0)",39.27355795,-76.62744037685637,0.0
21,3720,11609237,6101020A639431B9,2022/12/10 02:14:00+00,High,NW,COMMON ASSAULT,P223440474,4200 BLK LABYRINTH RD,4200 BLK LABYRINTH RD BALTIMORE MD,Reisterstown Station,Northwestern,631.0,5.0,D1,Glen-Fallstaff,Census Tract 2801.01,21215.0,481993,,"(None, None, None)",,,
22,3721,11609423,6101020A6394371E,2022/12/10 02:37:00+00,High,SE,CAR JACKING,P223440547,100 N CLINTON ST,100 N CLINTON ST BALTIMORE MD,Patterson Park Neighborhood,Southeastern,222.0,1.0,D6,Patterson Park North & East,Census Tract 2610,21224.0,481994,"100, North Clinton Street, Patterson Park, Baltimore, Maryland, 21224, United States","(39.293685, -76.571083, 0.0)",39.293685,-76.571083,0.0
23,3722,11609780,6101020A63946102,2022/12/10 05:35:00+00,High,CD,NONBREATHING / A,P223440977,300 ST PAUL PL,300 ST PAUL PL BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21202.0,482004,"The Residences at 300 Saint Paul Place, 300, Saint Paul Place, Chinatown, Downtown, Baltimore, Maryland, 21202, United States","(39.29257685, -76.6143561600453, 0.0)",39.29257685,-76.6143561600453,0.0
24,3723,11611255,6101020A6394E2CE,2022/12/10 14:49:00+00,High,NW,POLICE INFO,P223442544,3300 TIOGA PY,3300 TIOGA PY BALTIMORE MD,Burleith-Leighton,Northwestern,611.0,7.0,D9,Greater Mondawmin,Census Tract 1505,21215.0,482008,,"(None, None, None)",,,
25,3724,11611919,6101020A63950E5C,2022/12/10 17:55:00+00,High,ND,OVERDOSE,P223443287,100 W 29TH ST,100 W 29TH ST BALTIMORE MD,Charles Village,Northern,512.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1206,21218.0,482024,"100, West 29th Street, Charles Village, Baltimore, Maryland, 21211, United States","(39.32322, -76.618872, 0.0)",39.32322,-76.618872,0.0
26,3725,11612606,6101020A63953C16,2022/12/10 21:10:00+00,High,ED,COMMON ASSAULT,P223444035,300 E LANVALE ST,300 E LANVALE ST BALTIMORE MD,Greenmount West,Eastern,311.0,12.0,D5,Midtown,Census Tract 1205,21202.0,482035,"300, East Lanvale Street, Greenmount West, Baltimore, Maryland, 21202, United States","(39.309002, -76.612125, 0.0)",39.309002,-76.612125,0.0
0,3726,11613090,6101020A63955E8B,2022/12/10 23:37:00+00,High,SW,ARMED PERSON,P223444384,0 S MORLEY ST,0 S MORLEY ST BALTIMORE MD,Saint Josephs,Southwestern,842.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.02,21229.0,482047,"South Morley Street, Saint Josephs, Baltimore, Maryland, 21229, United States","(39.2850882, -76.6758173, 0.0)",39.2850882,-76.6758173,0.0
1,3727,11613291,6101020A63957173,2022/12/11 00:58:00+00,High,CD,ROBBERY ARMED,P223450264,1100 W NORTH AV,1100 W NORTH AV BALTIMORE MD,Druid Heights,Central,131.0,7.0,D8,Upton/Druid Heights,Census Tract 1403,21217.0,482055,"1100, West North Avenue, Reservoir Hill, Baltimore, Maryland, 21217, United States","(39.310594550000005, -76.63617526342563, 0.0)",39.310594550000005,-76.63617526342563,0.0
2,3728,11613534,6101020A63957930,2022/12/11 01:31:00+00,High,NE,DISCHRG FIREARM,P223450405,1400 WALKER AV,1400 WALKER AV BALTIMORE MD,Idlewood,Northeastern,414.0,4.0,D3,Loch Raven,Census Tract 2708.01,21239.0,482058,"1400, Walker Avenue, Idlewood, Baltimore, Maryland, 21239, United States","(39.37078665, -76.58591863338319, 0.0)",39.37078665,-76.58591863338319,0.0
3,3729,11613833,6101020A63958BB1,2022/12/11 02:50:00+00,High,NE,COMMON ASSAULT,P223450679,5500 BOWLEYS LN,5500 BOWLEYS LN BALTIMORE MD,Frankford,Northeastern,443.0,2.0,D6,Cedonia/Frankford,Census Tract 2602.03,21206.0,482065,"5500, Bowleys Lane, Frankford, Baltimore, Maryland, 21206, United States","(39.31921595, -76.551481025, 0.0)",39.31921595,-76.551481025,0.0
4,3730,11614028,6101020A6395A113,2022/12/11 04:21:00+00,High,SE,COMMON ASSAULT,P223450941,6500 ST HELENA AV,6500 ST HELENA AV BALTIMORE MD,Saint Helena,Southeastern,243.0,1.0,D7,Southeastern,Census Tract 2606.05,21222.0,482072,"6500, Saint Helena Avenue, Saint Helena, Baltimore, Maryland, 21222, United States","(39.26000005, -76.53236474101614, 0.0)",39.26000005,-76.53236474101614,0.0
5,3731,11617516,6101020A6396AB4B,2022/12/11 23:17:00+00,High,CD,ARMED PERSON,P223454549,500 N CALVERT ST,500 N CALVERT ST BALTIMORE MD,Mount Vernon,Central,142.0,11.0,D8,Midtown,Census Tract 1101,21202.0,482103,"Shillman Building, 500, North Calvert Street, Mount Vernon, Baltimore, Maryland, 21202, United States","(39.29586995, -76.61305662450243, 0.0)",39.29586995,-76.61305662450243,0.0
6,3732,11617756,6101020A6396B3FB,2022/12/11 23:54:00+00,High,SW,AUTO ACC/INJURY,P223454721,WINANS WY/EDMONDSON AV,WINANS WY and EDMONDSON AV BALTIMORE MD,Hunting Ridge,Southwestern,822.0,8.0,D10,Beechfield/Ten Hills/West Hills,Census Tract 2804.03,21229.0,482109,,"(None, None, None)",,,
7,3733,11618117,6101020A6396D164,2022/12/12 01:59:00+00,High,NE,AGGRAV ASSAULT,P223460471,3600 DUDLEY AV,3600 DUDLEY AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D6,Belair-Edison,Census Tract 2603.02,21213.0,482118,"3600, Dudley Avenue, Belair-Edison, Baltimore, Maryland, 21213, United States","(39.3198756, -76.56136745383002, 0.0)",39.3198756,-76.56136745383002,0.0
8,3734,11618845,6101020A63970255,2022/12/12 05:28:00+00,High,SD,DISCHRG FIREARM,P223461096,1300 WASHINGTON BL,1300 WASHINGTON BL BALTIMORE MD,Washington Village/Pigtown,Southern,932.0,10.0,D7,Washington Village/Pigtown,Census Tract 2102,21230.0,482127,,"(None, None, None)",,,
9,3735,11619088,6101020A63972AAC,2022/12/12 08:20:00+00,High,NE,POSSIBLE,P223461401,3500 BLK CHESTERFIELD AV,3500 BLK CHESTERFIELD AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D5,Belair-Edison,Census Tract 2603.01,21213.0,482142,,"(None, None, None)",,,
10,3736,11619852,6101020A639761F2,2022/12/12 12:16:00+00,High,ND,POSSIBLE,P223462374,400 ILCHESTER AV,400 ILCHESTER AV BALTIMORE MD,Harwood,Northern,513.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1203,21218.0,482155,"400, Ilchester Avenue, Harwood, Baltimore, Maryland, 21218, United States","(39.32296145, -76.61099159989422, 0.0)",39.32296145,-76.61099159989422,0.0
11,3737,11620178,6101020A63976A9C,2022/12/12 12:53:00+00,High,ND,POSSIBLE,P223462524,200 KEMBLE RD,200 KEMBLE RD BALTIMORE MD,Guilford,Northern,542.0,14.0,D2,North Baltimore/Guilford/Homeland,Census Tract 1201,21218.0,482158,"200, Kemble Road, Guilford, Baltimore, Maryland, 21218, United States","(39.337168, -76.613453, 0.0)",39.337168,-76.613453,0.0
12,3738,11620311,6101020A63977E46,2022/12/12 14:17:00+00,High,CD,AUTO ACC/INJURY,P223462846,SB I 100 S AT W NORTH AV,SB I 100 S AT W NORTH AV BALTIMORE MD,Reservoir Hill,Central,133.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1302,21217.0,482166,,"(None, None, None)",,,
13,3739,11620809,6101020A639799DD,2022/12/12 16:15:00+00,High,SD,BY THREAT,P223463254,3000 ASCENSION ST,3000 ASCENSION ST BALTIMORE MD,Cherry Hill,Southern,922.0,10.0,D7,Cherry Hill,Census Tract 2502.03,21225.0,482174,"3000, Ascension Street, Cherry Hill, Brooklyn Park, Maryland, 21225, United States","(39.249222849999995, -76.61987098979387, 0.0)",39.24922285,-76.61987098979387,0.0
14,3740,11620931,6101020A6397A187,2022/12/12 16:47:00+00,High,ND,POSSIBLE,P223463417,500 GORSUCH AV,500 GORSUCH AV BALTIMORE MD,Better Waverly,Northern,513.0,14.0,D5,The Waverlies,Census Tract 905,21218.0,482180,"500, Gorsuch Avenue, Better Waverly, Baltimore, Maryland, 21218, United States","(39.32804, -76.609266, 0.0)",39.32804,-76.609266,0.0
